metric,asset,seed_0,seed_1,seed_2,seed_3,seed_4,mean
A12_rv_law_loss,0,0.02911933902259848,0.02959675330661173,0.028939193857332065,0.029400719122688823,0.029257528475904772,0.02926271
A12_rv_law_loss,1,0.022412165820192592,0.02284202301536483,0.022505103470268392,0.021387777265404802,0.02271795954839294,0.02237301
A12_rv_law_loss,2,0.02857941138530721,0.027796902914538964,0.026870430600337038,0.02753639338423946,0.02886920508503143,0.02793047
A12_rv_law_loss,3,0.01948006598296129,0.018951532960459865,0.01771191258596785,0.018418657194983673,0.018275980183218965,0.01856763
A12_rv_law_loss,4,0.021812988245444163,0.019880389357283076,0.02037582698906423,0.0209990681095079,0.019898129730045497,0.02059328
A12_rv_law_loss,5,0.0158717953996142,0.0160995374702107,0.015807055061112924,0.016102691363777424,0.015424775230047979,0.01586117
A12_rv_law_loss,6,0.01428708983906942,0.013875205393015202,0.012438407799252933,0.014298531884121665,0.012543985304990811,0.01348864
A12_rv_law_loss,7,0.01216039889645522,0.010725650970214459,0.010155220453610884,0.010796867020754723,0.011510521733752289,0.01106973
A13_mean_path_rmse,0,0.010880593666057432,0.009088875123144467,0.00928799758467173,0.00848403996957154,0.005148770674800596,0.00857806
A13_mean_path_rmse,1,0.01095820755482265,0.004886237453694035,0.004413236513019006,0.012706210573757546,0.008539132182907635,0.0083006
A13_mean_path_rmse,2,0.005685190818038506,0.014652666220002364,0.0056678112894582985,0.009031661727393937,0.00507724088458484,0.00802291
A13_mean_path_rmse,3,0.030152732047468815,0.010680614766567658,0.011192617403720741,0.009046594972194887,0.01611200754853096,0.01543691
A13_mean_path_rmse,4,0.024484826325559133,0.008046304122187936,0.008643136205916982,0.007248516150444014,0.00516465877870633,0.01071749
A13_mean_path_rmse,5,0.020437685407329896,0.01122080878936931,0.007198188378934515,0.021878149569875643,0.020713309368434213,0.01628963
A13_mean_path_rmse,6,0.02915339668103087,0.008587017863699845,0.00658252509474982,0.010682583871260585,0.013739128122307901,0.01374893
A13_mean_path_rmse,7,0.02846787690216865,0.009481973558773898,0.011820667527733957,0.024146560849222915,0.005768113858550679,0.01593704
A14_ks_logreturns,0,0.1890609621062992,0.1883945415026247,0.18763712885498685,0.18750384473425197,0.18740003690944884,0.1879993
A14_ks_logreturns,1,0.11391691272965876,0.11231878485892388,0.11137041707677164,0.11176898786089229,0.11168696686351709,0.11221241
A14_ks_logreturns,2,0.16642444840879267,0.16601049868766404,0.16543891486220474,0.16630398006889768,0.1652415518372704,0.16588388
A14_ks_logreturns,3,0.07805195004921262,0.07684342191601046,0.07496334686679795,0.07678703248031493,0.07603218298884518,0.07653559
A14_ks_logreturns,4,0.10270182291666663,0.10006433521981628,0.10086147678805779,0.10059619012467191,0.10017711409120733,0.10088019
A14_ks_logreturns,5,0.06567959522637801,0.06418271202427817,0.06427883038057747,0.06573213992782156,0.06324716002296593,0.06462409
A14_ks_logreturns,6,0.10253393618766404,0.10268003608923881,0.1030081200787401,0.10257238353018372,0.10256853879593175,0.1026726
A14_ks_logreturns,7,0.18008478920603677,0.18136764886811024,0.18105109908136485,0.1801155470800525,0.18142403830380577,0.18080862
A15_skewness_error,0,0.13808566417150753,0.07220725137881996,0.10256258967633805,0.11320082410962634,0.05979916500047906,0.0971711
A15_skewness_error,1,0.0338915186040077,0.07137482341757215,0.04695758634506237,0.053129252382357245,0.10430922803562467,0.06193248
A15_skewness_error,2,0.5871307476210754,0.5692347665124876,0.5282252136797497,0.5307481926876378,0.5713543863757818,0.55733866
A15_skewness_error,3,0.14313059881529824,0.13528774614449834,0.17182265395255145,0.16980998050688131,0.2241380322723454,0.1688378
A15_skewness_error,4,0.029272366573025524,0.04062331026196615,0.06551061695771,0.006902205287784918,0.010158097557126065,0.03049332
A15_skewness_error,5,0.5076072901689577,0.5405298932079224,0.5765037540756286,0.6431779603492334,0.60379346315234,0.57432247
A15_skewness_error,6,0.32460670816948134,0.26852184774866644,0.29730301902544326,0.25844685643197485,0.30407365532699276,0.29059042
A15_skewness_error,7,0.17313337225133882,0.18626286307377146,0.12450885416777752,0.16653636699423258,0.20580262403358296,0.17124882
A16_qq_rmse,0,0.0005550873583941841,0.0005577303561890715,0.0005514324819767198,0.0005549140154727402,0.0005539071751888254,0.00055461
A16_qq_rmse,1,0.00037577625513583263,0.00038060433281813356,0.00037249155257902867,0.0003623040777243893,0.0003755654976517958,0.00037335
A16_qq_rmse,2,0.0005175939870606366,0.0005121302830392299,0.000501493973366947,0.0005107937709244256,0.0005211914406580329,0.00051264
A16_qq_rmse,3,0.0003008416008050066,0.0002922642561708897,0.00027666310083956317,0.000287858033748029,0.0002858043488345458,0.00028869
A16_qq_rmse,4,0.0003474922841152489,0.00032466217028378314,0.00032950419978530646,0.00033642233781351676,0.0003230315627233597,0.00033222
A16_qq_rmse,5,0.0002431707122496964,0.00024449208876382525,0.00023927014510738602,0.00024499218012482784,0.00023666852860510448,0.00024172
A16_qq_rmse,6,0.00020728075290171318,0.00019984835638675415,0.00018210726864625548,0.00020680634825439426,0.00018701409662836015,0.00019661
A16_qq_rmse,7,0.00020175975604735493,0.00018714018282696724,0.0001817386509966168,0.0001876078276064496,0.00019257556671547276,0.00019016
A17_terminal_ks,0,0.11881510416666663,0.11393229166666674,0.11295572916666663,0.11165364583333326,0.11653645833333331,0.11477865
A17_terminal_ks,1,0.04833984375,0.04475911458333326,0.03857421875,0.04069010416666666,0.04248046875,0.04296875
A17_terminal_ks,2,0.08577473958333326,0.09391276041666669,0.08121744791666663,0.08610026041666669,0.08463541666666666,0.08632812
A17_terminal_ks,3,0.03336588541666674,0.02783203125,0.02392578125,0.02392578125,0.02685546875,0.02718099
A17_terminal_ks,4,0.04361979166666663,0.03483072916666674,0.029296875,0.03255208333333337,0.0283203125,0.03372396
A17_terminal_ks,5,0.03401692708333334,0.03483072916666663,0.030598958333333315,0.03759765625,0.042317708333333315,0.0358724
A17_terminal_ks,6,0.055338541666666685,0.04752604166666663,0.0537109375,0.046712239583333315,0.050618489583333315,0.05078125
A17_terminal_ks,7,0.05712890625,0.048828125,0.0517578125,0.055826822916666685,0.050944010416666685,0.05289714
A19_pred_score_gru,0,0.005448,0.005489,0.005489,0.005447,0.005456,0.0054658
A19_pred_score_gru,1,0.004458,0.004411,0.004435,0.004454,0.0044,0.0044316
A19_pred_score_gru,2,0.003091,0.002997,0.003,0.003088,0.003018,0.0030388
A19_pred_score_gru,3,0.006818,0.006808,0.006794,0.006802,0.006819,0.0068082
A19_pred_score_gru,4,0.001673,0.00174,0.00168,0.001682,0.001861,0.0017272
A19_pred_score_gru,5,0.001845,0.001858,0.001877,0.001915,0.001845,0.001868
A19_pred_score_gru,6,0.002362,0.00252,0.002332,0.002319,0.002399,0.0023864
A19_pred_score_gru,7,0.00271,0.002756,0.002842,0.002845,0.00282,0.0027946
A19_pred_score_mlp,0,0.008177,0.005836,0.006702,0.006701,0.006684,0.00682
A19_pred_score_mlp,1,0.004645,0.005053,0.005235,0.00452,0.004669,0.0048244
A19_pred_score_mlp,2,0.003068,0.003162,0.003289,0.003445,0.003388,0.0032704
A19_pred_score_mlp,3,0.006975,0.006865,0.007416,0.006909,0.006916,0.0070162
A19_pred_score_mlp,4,0.001716,0.001787,0.001737,0.001723,0.002017,0.001796
A19_pred_score_mlp,5,0.001949,0.002602,0.002109,0.001984,0.001947,0.0021182
A19_pred_score_mlp,6,0.002657,0.002501,0.002424,0.002425,0.00256,0.0025134
A19_pred_score_mlp,7,0.003155,0.002918,0.00291,0.002848,0.003081,0.0029824
A1_kurtosis_error,0,20.95131461993817,20.114570803511313,20.57936303706029,19.966773606276234,20.458420401516612,20.41408849
A1_kurtosis_error,1,21.70684196656943,21.72739811049211,20.969800855242656,21.78500974725249,21.00411289490161,21.43863271
A1_kurtosis_error,2,85.18638746439782,85.6852240079496,85.72965014492974,86.00446116557657,85.04513279334384,85.53017112
A1_kurtosis_error,3,13.207370368203108,12.556789854195376,12.885050973805736,13.28837930504317,13.132065961969007,13.01393129
A1_kurtosis_error,4,24.792170129220985,25.181657555790707,24.204735423245758,24.397075080437645,25.10761208417663,24.73665005
A1_kurtosis_error,5,37.28429888668383,36.90751784108964,37.08229087742197,36.59491937835905,36.898232883498274,36.95345197
A1_kurtosis_error,6,19.066164378482405,20.06530244376518,20.4296331052389,20.20970260526716,20.486580828741744,20.05147667
A1_kurtosis_error,7,15.529547891968775,16.4883355068654,16.13357516478219,15.761293031340202,15.512133505711606,15.88497702
A21_acf_abs,0,0.037771412517499145,0.03904894543956557,0.03694746292656208,0.036941236397195445,0.03876126714447755,0.03789406
A21_acf_abs,1,0.04221232094409865,0.04092080479092628,0.0403551880462802,0.03955463775423765,0.04094541932884976,0.04079767
A21_acf_abs,2,0.0494621669710131,0.046211530803357846,0.044796255740503076,0.04595490721286271,0.047684255695077817,0.04682182
A21_acf_abs,3,0.05458498738902695,0.051848422849071645,0.04954119522288103,0.05173627179083394,0.05033314958155359,0.05160881
A21_acf_abs,4,0.05235674730348425,0.052556209106250334,0.05040181292789711,0.05030982780377421,0.05257809801150247,0.05164054
A21_acf_abs,5,0.05066346696351717,0.049558702868960615,0.04769781569248212,0.0513880110984157,0.048932076166832435,0.04964801
A21_acf_abs,6,0.061420023019182424,0.06166829827672241,0.058231207178591635,0.06036459180440102,0.05869129017565501,0.06007508
A21_acf_abs,7,0.07056836703725723,0.06891569454073271,0.06562963047183597,0.06700638521919207,0.06712696312454075,0.06784941
A22_acf_sq,0,0.03811168271183713,0.03928210258005597,0.037784125353533204,0.03733549416488297,0.03844025971733964,0.03819073
A22_acf_sq,1,0.04002484022479344,0.03768170770869811,0.037447706938406294,0.03694374903236654,0.03805307543639372,0.03803022
A22_acf_sq,2,0.04537573464048747,0.042754864208266144,0.04176756285305664,0.04276813420820817,0.04401184729001835,0.04333563
A22_acf_sq,3,0.04644488456014402,0.04360441515328833,0.04299990587761686,0.04451519263338369,0.043355711396211,0.04418402
A22_acf_sq,4,0.044053411672068526,0.04564191617448285,0.042972318423212155,0.04246897943184355,0.04501961701221888,0.04403125
A22_acf_sq,5,0.043000805829432914,0.04202239352270069,0.040901514261448745,0.04293805914982323,0.04235003847900633,0.04224256
A22_acf_sq,6,0.05015502409762205,0.05055354612683538,0.04851274961559428,0.049526040315301424,0.04847715918761054,0.0494449
A22_acf_sq,7,0.05592436170002036,0.05455864653169548,0.05196885248900461,0.05281473116986972,0.05337064766160133,0.05372745
A23_acf_lag1_abs_error,0,0.03359617395683524,0.035247365193404975,0.03423492903277668,0.03274066952687389,0.03545385652594167,0.0342546
A23_acf_lag1_abs_error,1,0.03783934310242823,0.0364851261824333,0.03834090929271319,0.03476419531842634,0.03659018681412299,0.03680395
A23_acf_lag1_abs_error,2,0.052592307401959,0.04936367380315959,0.04700752199037331,0.04851528116803941,0.0519343154920863,0.04988262
A23_acf_lag1_abs_error,3,0.06656633017844642,0.06414773171821721,0.061125318235668843,0.06499381555788268,0.061584339377770095,0.06368351
A23_acf_lag1_abs_error,4,0.058769863394724425,0.05867122301912614,0.05770471155226542,0.058801823375488504,0.05943292754878168,0.05867611
A23_acf_lag1_abs_error,5,0.06054417885959111,0.057435577665707824,0.05893931612933841,0.06127872944008235,0.05821187073713931,0.05928193
A23_acf_lag1_abs_error,6,0.07625125325165269,0.07730720498188104,0.07196403486543684,0.07601716825315386,0.07339236198267257,0.0749864
A23_acf_lag1_abs_error,7,0.08216628788016317,0.07826106321529727,0.07590036218011237,0.07854962047513595,0.0762831966134602,0.07823211
A24_acf_lag1_sq_error,0,0.04374955809202595,0.0452522424185879,0.045117719832965766,0.04373490863683552,0.044463944570815137,0.04446367
A24_acf_lag1_sq_error,1,0.043158482379171734,0.039850257459881896,0.04283582984410812,0.0399414659677572,0.04033926675233793,0.04122506
A24_acf_lag1_sq_error,2,0.05590372435468806,0.05419844671499453,0.05063881725283083,0.05246049305280659,0.055818322459350866,0.05380396
A24_acf_lag1_sq_error,3,0.062124121503956,0.05921756542403612,0.05689543298258622,0.061578126145960706,0.05835185640166903,0.05963342
A24_acf_lag1_sq_error,4,0.05274755297749192,0.05402927888172967,0.05277685409211092,0.05278231526670816,0.054867951862901575,0.05344079
A24_acf_lag1_sq_error,5,0.055736498547082805,0.05182462187966487,0.05360794245431119,0.05517754844582509,0.053665999025885064,0.05400252
A24_acf_lag1_sq_error,6,0.06659578897937918,0.06798490250226291,0.06435211307528027,0.0664764201352453,0.06406589623594919,0.06589502
A24_acf_lag1_sq_error,7,0.06951921966766947,0.06583836305929672,0.06397974950901639,0.06646350439600252,0.0639220354883564,0.06594457
A26_std_error,0,0.0626697461904076,0.06346617269871055,0.062354246859192754,0.06307549798095033,0.06296540493840766,0.06290621
A26_std_error,1,0.04191650092238676,0.04252691245419994,0.04199504974106387,0.04038972657399513,0.04243120529131021,0.04185188
A26_std_error,2,0.059166618470251384,0.057911088912067324,0.05668740557441396,0.05773670968929935,0.059654459741338706,0.05823126
A26_std_error,3,0.034768235468882996,0.033943453093080556,0.03200501345732698,0.033072424925099375,0.03294533786635996,0.03334689
A26_std_error,4,0.03957933316004601,0.0364911719673079,0.037435085482867114,0.03824067686089795,0.03655231550441494,0.03765972
A26_std_error,5,0.02721182406112893,0.027388244219730795,0.026943093751241085,0.027665344833200503,0.02661946193541488,0.02716559
A26_std_error,6,0.02376172457544508,0.02273734212788381,0.020443654212197473,0.023431062825843688,0.020928766257600567,0.02226051
A26_std_error,7,0.01720875515762771,0.014469841358080951,0.013606726268624594,0.014824881842132653,0.01528443187347911,0.01507893
A27_logreturn_std_error,0,0.000626596191168387,0.0006337651525046995,0.0006238774640754466,0.0006308264106706942,0.0006286762365234544,0.00062875
A27_logreturn_std_error,1,0.0004181876586198299,0.0004245965131086473,0.00041957645456420665,0.00040275580415377035,0.0004227506298276943,0.00041757
A27_logreturn_std_error,2,0.000591397074302534,0.000579432851130314,0.0005656138614708755,0.0005756091340567515,0.0005956032406333597,0.00058153
A27_logreturn_std_error,3,0.00034545042907374417,0.000337491648896044,0.00031887096243975177,0.000329509536910163,0.0003274235905132391,0.00033175
A27_logreturn_std_error,4,0.00039372927974426985,0.00036520681759242765,0.00037310326575319577,0.0003822085563867665,0.0003646629494417756,0.00037578
A27_logreturn_std_error,5,0.00027046070320850156,0.0002735667703433178,0.0002688623218752638,0.00027425047677304983,0.000263361719261501,0.0002701
A27_logreturn_std_error,6,0.0002343877711150934,0.000226356486809118,0.00020381287129054562,0.0002335150506897008,0.0002079370101994171,0.0002212
A27_logreturn_std_error,7,0.00017017110727548103,0.00014472234526117828,0.00013529114095220613,0.00014689181772653895,0.00015291240349359103,0.00015
